periodo,desemp,cetes91,inf
01/01/1980,6.8,18.776,21.56
01/02/1980,7,19.4125,22.6
01/03/1980,7.1,21.52,23.45
01/04/1980,7.3,22.44,24.49
01/05/1980,7.5,22.43,24.89
01/06/1980,7.6,21.625,25.97
01/07/1980,7.8,20.972,27.94
01/08/1980,7.9,21.54,28.64
01/09/1980,8,23.465,28.49
01/10/1980,8,24.816,28.2
01/11/1980,8,25.94,28.77
01/12/1980,7.9,27.9375,29.85
01/01/1981,7.8,28.94,27.8
01/02/1981,7.6,28.82,27.98
01/03/1981,7.5,28.6325,28.08
01/04/1981,7.4,28.402,28.72
01/05/1981,7.2,28.1225,28.57
01/06/1981,7.1,28.36,27.83
01/07/1981,7.1,30.784,26.55
01/08/1981,7,33.65,26.54
01/09/1981,7.1,33.93,27.47
01/10/1981,7.1,33.824,28.36
01/11/1981,7.3,33.3975,28.6
01/12/1981,7.4,33.34,28.68
01/01/1982,7.7,34.2,30.86
01/02/1982,8,36.025,32.74
01/03/1982,8.3,35.275,34.71
01/04/1982,8.7,37.692,38.88
01/05/1982,9,42.83,44.5
01/06/1982,9.3,50.585,49.37
01/07/1982,9.6,53.074,54.35
01/08/1982,9.8,55.8575,68.21
01/09/1982,9.9,50.666,73.95
01/10/1982,10,43.0125,79
01/11/1982,10.2,51.6775,84.49
01/12/1982,10.4,57.858,98.84
01/01/1983,10.5,59.86,110.04
01/02/1983,10.5,61.4875,112.95
01/03/1983,10.5,64.812,115.39
01/04/1983,10.3,63.0525,117.25
01/05/1983,10.1,63.395,114.61
01/06/1983,9.9,62.684,112.5
01/07/1983,9.6,61.16,112.08
01/08/1983,9.4,57.966,98.08
01/09/1983,9.1,56.295,93.83
01/10/1983,8.9,54.7175,90.39
01/11/1983,8.6,54.0625,91.87
01/12/1983,8.4,53.95,80.78
01/01/1984,8.1,53.205,73.4
01/02/1984,7.9,50.9175,73.25
01/03/1984,7.7,46.204,72.31
01/04/1984,7.5,46.9275,69.06
01/05/1984,7.5,50.396,67.41
01/06/1984,7.5,51.1575,67.14
01/07/1984,7.6,51.1525,64.49
01/08/1984,7.7,50.726,62.84
01/09/1984,7.9,49.92,62.68
01/10/1984,8.1,47.965,62.96
01/11/1984,8.2,47.936,59.2
01/12/1984,8.2,49.3225,59.16
01/01/1985,8.3,48.334,60.75
01/02/1985,8.3,49.6625,59.04
01/03/1985,8.3,57.58,58.43
01/04/1985,8.4,59.2975,56.53
01/05/1985,8.4,59.954,55.1
01/06/1985,8.4,64.6675,53.43
01/07/1985,8.3,70.905,53.73
01/08/1985,8.3,73.91,56.02
01/09/1985,8.3,69.48,57.55
01/10/1985,8.3,66.602,58.02
01/11/1985,8.3,69.1025,59.82
